Class,Compound,CAS,LRI,Ref RI,Reference odour descriptor,MCc0h,MCc8h,MCc48h,4c8h,4c48h,5b8h,5b48h,7c8h,7c48h,37b8h,37b48h,40b8h,40b48h,41b8h,41b48h,42b8h,42b48h,46b8h,46b48h,49b8h,49b48h,56b8h,56b48h,57b8h,57b48h,64b8h,64b48h,65b8h,65b48h,67b8h,67b48h,68b8h,68b48h,01T0ha,18T0ha,01T2ha,18T2ha,01T4ha,18T4ha,01T8ha,18T8ha,01T16ha,18T16ha,01T48ha,18T48ha,MCT0ha
Ester,Ethyl benzoate*,93-89-0,1229,,"sweet, wintergreen, fruity, medicinal, cherry, grape",9597,10544,8994,10392,11338,12036,10254,9142,12119,7845,8611,13003,9191,7914,14307,8534,16952,13490,8097,9572,8296,6749,4803,5536,0,10512,5987,5069,5607,11690,9546,8246,11426,15437,16249,15006,15315,12777,12486,13291,12637,12511,12559,13025,13538,12832
Ester,Ethyl benzeneacetate,101-97-3,1303,1305,"sweet, floral, honey, rose, balsamic, cocoa",0,0,0,0,0,0,0,0,0,0,33744,0,0,7233,112145,0,108696,0,0,0,0,0,0,0,25981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ester,?-Phenylethyl acetate,103-45-7,1318,1322,"floral, rose-like",59794,21112,11452,177723,9770425,36484,232965,0,4155451,3574,102304,45645,74563,0,255281,0,272231,17231,188651,0,143837,8009,167387,9346,3232011,0,98221,0,7415,5548,119245,0,105231,0,0,0,0,0,30794,0,11290,11139,29236,462035,7571925,0
Ester,Ethyl nonanoate*,123-29-5,1320,,"waxy, cognac, estery, fruity, apple",0,0,0,5424,70952,9066,141528,0,31256,20899,185843,24111,43866,52967,322687,57385,1114627,44402,116802,0,0,17565,49355,31471,671863,6010,58692,0,0,4382,46323,0,60246,0,0,0,0,0,0,0,0,5497,36556,73950,211468,0
Ester,Methyl decanoate,110-42-9,1351,1350,"fatty, oily, fruity",0,0,0,55180,106092,17786,44139,0,0,121404,125083,40498,5519,57258,72397,326692,1071204,68251,39980,0,0,23789,31966,27234,106653,24149,19759,0,0,15793,0,8037,2934,0,0,0,0,0,0,5347,11545,27027,32174,33307,30481,0
Ester,Isobutyl octanoate*,03/03/5461,1374,,"fruity, green, oily, floral",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10163,0,28663,0,0,0,0,0,0,0,30897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ester,Ethyl decanoate,110-38-3,1420,1422,"soapy, floral",0,0,0,32704,542116,63492,1498095,0,143888,94157,745247,106050,171044,341315,1860708,870332,13580336,292239,1262121,16364,9664,125588,299713,109442,1838174,47356,219895,0,0,64057,143158,25667,411404,0,0,0,0,0,0,0,16372,56505,174447,390781,848276,0
Ester,Isoamyl octanoate,2035-99-6,1475,1479,"oily, fruity, green, soapy",0,0,0,0,25589,0,26762,0,0,0,20391,0,0,17487,183610,0,115380,11954,110453,0,0,0,18477,3486,236853,0,12083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44623,0,0
Ester,Methyl dodecanoate*,111-82-0,1551,,"waxy, soapy, creamy, coconut, mushroom",0,0,0,0,0,0,0,0,0,44952,11970,0,0,8289,0,74080,117465,17255,2438,0,0,2012,0,5278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ester,Ethyl dodecanoate,106-33-2,1619,1621,"sweet, fruity, waxy, soapy",0,0,0,0,0,0,33586,0,0,27529,70586,8015,18413,28980,104912,170870,1537223,36722,46887,3829,0,2076,7823,18334,100775,3293,4207,0,0,0,0,0,4897,0,0,0,0,0,0,0,0,0,9077,4033,35039,0
Ester,Ethyl tetradecanoate*,124-06-1,1820,,"sweet, waxy",0,0,0,0,0,0,0,0,0,3199,18342,0,0,3662,0,6213,263201,18562,0,0,0,0,0,7349,52599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ester,Ethyl trans-4-decenoate*,76649-16-6,1425,,"green, fruity, oily,waxy",0,0,0,0,17043,0,34346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ether,Ethyl ether,60-29-7,512,515,"pungent, etheral",76756,299783,76942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34590,0,0,0,0,0,0,0,21251,0,14524,0,0,0,94628,62647,78293,69221,163141,64236,67309,40662,0,0,0,0,237636
Furan,2-Methylfuran,534-22-5,620,615,"chocolate, etheral, acetone, ",5386,2675,0,0,0,0,0,0,0,4995,0,0,0,0,0,0,0,0,0,7208,2446,0,0,0,0,0,0,4205,0,8525,0,0,0,10287,8572,8514,7020,6308,4995,1736,2554,0,0,0,0,16897
Furan,"2,5-Dimethylfuran",625-86-5 ,723,726,"chemical, ethereal, meaty, gravy, roasted",0,0,0,0,3785,0,0,0,39282,0,33470,0,0,0,0,12334,0,0,0,6393,13060,0,0,0,0,5492,0,4403,4799,20235,49880,4130,14888,10009,10842,7046,8002,0,0,0,0,0,0,34009,0,15484
Hydrocarbon,"1,3-Pentadiene* (piperylene)",504-60-9,532,,"plastic, hydrocarbon, kerosene",0,0,0,1193874,210252,2486743,138459,1925256,2393322,138660,158133,0,0,448817,181731,0,0,2228539,124702,0,0,1080429,154564,1500651,434268,905654,189362,0,0,1846491,350497,452922,144696,33171,43236,307516,150319,297873,217512,543121,383275,940726,338145,660941,36964,0
Hydrocarbon,Hexane,110-54-3,598,600,,47573,47169,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14553,0,0,0,0,0,0,0,0,0,0,0,0,0,31228,24757,27458,6292,7620,0,0,0,0,0,0,0,28179
Hydrocarbon,Heptane,142-82-5,698,700,,1272991,1274616,1328926,634806,131957,70567,0,248919,0,261334,0,127948,0,74609,0,110989,0,64968,0,339352,84909,107592,0,74871,0,127415,0,174631,57165,572893,0,113659,97064,782696,674745,752348,590711,676764,785226,617328,716289,475862,365085,116596,0,824553
Ketone,Acetone,67-64-1,539,533,"solvent, etheral, sour milk, apple",536764,531027,511122,0,0,0,0,166887,0,110454,0,78735,0,0,0,45909,0,0,0,413597,72342,0,0,0,0,0,0,207059,63840,0,0,0,0,721954,603706,660233,507872,589636,93106,0,0,0,0,0,0,903469
Ketone,"2,3-Butanedione",431-03-8,629,631,"buttery, strong",132334,132254,134940,168962,49101,564413,0,312181,54348,1412051,241938,0,0,29179,0,0,0,385219,0,126617,128823,0,0,146819,0,393393,0,450478,261987,101710,102716,0,0,263202,244375,279223,200015,298246,139094,229668,31292,174118,152515,0,206156,430480
Ketone,2-Butanone,78-93-3,636,639,"buttery, sour milk, etheric",143741,139794,137699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141056,0,0,0,0,0,0,0,75400,0,34277,0,0,0,162641,0,127716,0,0,0,0,0,0,0,0,0,235499
Ketone,2-Pentanone,107-87-9,727,730,"orange peel, sweet, fruity",142135,140072,144041,0,0,0,0,0,0,0,0,0,0,0,0,74592,0,0,0,98167,0,0,0,0,0,83155,0,49388,0,0,0,0,0,27921,55390,0,79020,0,0,0,0,0,0,0,0,119356
Ketone,1-Hydroxy-2-propanone,116-09-6,733,734,"pungent, sweet, caramellic, ethereal ",17727,20226,27982,109439,0,0,0,10385,0,12957,0,0,0,0,0,0,0,0,0,89803,17993,0,0,0,0,0,0,17165,0,92238,0,74293,0,65257,67936,32201,0,0,0,0,0,0,93641,0,0,194781
